n, x0, x1, s, xa, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
1, 0.800263288041, -0.621959486718, 1e-12, 0.719031890187, [nan], -1.42945382532, 0.583171529249, nan, nan, nan,0.000119209289551, 0.000183820724487, 5.10215759277e-05, 13:09:09  19-07-16
2, 0.594481619591, 0.141741873585, 1e-12, 0.99883070105, [nan], 0.294777429098, 0.472780987725, nan, nan, nan,0.000103950500488, 0.000120878219604, 4.10079956055e-05, 13:09:09  19-07-16
3, -0.562282008297, 0.673032626695, 1e-12, 0.585144720693, [nan], -0.0941095738896, 0.644771982289, nan, nan, nan,9.10758972168e-05, 0.000113964080811, 3.88622283936e-05, 13:09:09  19-07-16
4, 0.0769141335636, -0.3630244377, 1e-12, 0.12876669301, [nan], 2.32792174789, 0.907941781472, nan, nan, nan,8.89301300049e-05, 0.000111103057861, 3.91006469727e-05, 13:09:09  19-07-16
5, -0.722694904351, -0.612295469354, 1e-12, 0.645291135228, [nan], 0.0704623105172, 0.616332707658, nan, nan, nan,8.82148742676e-05, 0.000108957290649, 3.88622283936e-05, 13:09:09  19-07-16
6, -0.678008683077, -0.530227688817, 1e-12, 0.894073389195, [nan], 0.0716913690512, 0.511424636894, nan, nan, nan,8.70227813721e-05, 0.000110149383545, 3.88622283936e-05, 13:09:09  19-07-16
7, 0.330519042737, -0.666401963271, 1e-12, 0.697958209178, [nan], 0.104617706851, 0.592461932558, nan, nan, nan,8.70227813721e-05, 0.000109910964966, 3.81469726562e-05, 13:09:09  19-07-16
8, 0.110013474126, -0.600524369689, 1e-12, 0.115770516936, [nan], 1.05405723542, 0.916834880613, nan, nan, nan,8.70227813721e-05, 0.000107049942017, 3.79085540771e-05, 13:09:09  19-07-16
9, 0.398446198363, -0.158550883583, 1e-12, 0.303958906168, [nan], 0.603138958196, 0.796148797061, nan, nan, nan,8.60691070557e-05, 0.000108003616333, 3.88622283936e-05, 13:09:09  19-07-16
10, -0.826356776661, -0.322134834247, 1e-12, 0.76059856375, [nan], 0.0452400973958, 0.565271618406, 0.800182898948, -0.621856424326, 0.621387185397,8.79764556885e-05, 0.0001060962677, 0.718324899673, 13:09:10  19-07-16
11, 0.213991769547, 0.995884773663, 1e-12, 0.997942386831, [nan], -0.327728297953, 0.47309607623, 0.800284509475, -0.621856424326, 0.621324972059,15.935628891, 0.00015115737915, 0.228435993195, 13:09:26  19-07-16
12, 0.930041152263, -0.658436213992, 1e-12, 0.997942386831, [nan], -0.561201342832, 0.47309607623, 0.800284509475, -0.621856424326, 0.621325570671,15.2360048294, 0.0001380443573, 0.275814056396, 13:09:41  19-07-16
13, 0.0576131687243, 0.584362139918, 1e-12, 0.973251028807, [nan], -0.680611697564, 0.481938738477, -0.999949194737, 0.99984758421, -0.0146664503564,15.2191598415, 0.000133991241455, 0.214323997498, 13:09:57  19-07-16
14, 0.77366255144, -0.362139917695, 1e-12, 0.997942386831, [nan], 0.443247844291, 0.47309607623, -0.999949194737, 0.99984758421, -0.014666667017,15.3793771267, 0.000133991241455, 0.248019933701, 13:10:12  19-07-16
15, 0.0329218106996, -0.271604938272, 1e-12, 0.997942386831, [nan], 0.709332989803, 0.47309607623, -0.851902657115, 0.777625361988, -0.034160124235,16.126057148, 0.00013279914856, 0.264238119125, 13:10:29  19-07-16
16, 0.995884773663, -0.938271604938, 1e-12, 0.825102880658, [nan], 0.0972743344408, 0.538575730213, -0.925976731189, 0.851699436062, -0.0229979044755,15.5608811378, 0.00013279914856, 0.345598220825, 13:10:45  19-07-16
17, -0.485596707819, -0.0082304526749, 1e-12, 0.997942386831, [nan], 0.0870948477061, 0.47309607623, -0.99984758421, 0.999949194737, -0.0146723887324,15.0816340446, 0.000134944915771, 0.303088188171, 13:11:00  19-07-16
18, 0.814814814815, -0.633744855967, 1e-12, 0.88683127572, [nan], -0.840468117251, 0.514210041067, 0.0576131687243, 0.584362139918, -1.18795392271,14.8456919193, 0.000130891799927, 0.334957122803, 13:11:15  19-07-16
19, 0.847736625514, 0.732510288066, 1e-12, 0.997942386831, [nan], -0.0333902017915, 0.47309607623, 0.0576131687243, 0.584362139918, -1.18795419381,13.498554945, 0.000135183334351, 0.390864849091, 13:11:29  19-07-16
20, -0.139917695473, 0.650205761317, 1e-12, 0.997942386831, [nan], -0.354717882817, 0.47309607623, -0.139917695473, 0.650205761317, -0.865251257996,14.6435799599, 0.000136137008667, 0.400444984436, 13:11:44  19-07-16
21, 0.971193415638, -0.592592592593, 1e-12, 0.664609053498, [nan], -1.79074257893, 0.607467386414, 0.999949194737, -0.650815424478, 0.319417687296,13.3154308796, 0.000133991241455, 0.376645088196, 13:11:58  19-07-16
22, 0.477366255144, 0.477366255144, 1e-12, 0.997942386831, [nan], -0.50858127713, 0.47309607623, 0.999949194737, -0.670934308794, 0.403096661523,12.0612809658, 0.000135898590088, 0.510469913483, 13:12:10  19-07-16
23, 0.995884773663, 0.444444444444, 1e-12, 0.491769547325, [nan], -0.139829828715, 0.691544926405, 0.999949194737, -0.666971498247, 0.38619657444,11.5894050598, 0.000155925750732, 0.475404024124, 13:12:23  19-07-16
24, -0.995884773663, 0.395061728395, 1e-12, 0.997942386831, [nan], -0.0019191679749, 0.47309607623, 0.999949194737, -0.668190824569, 0.391380300689,11.6421458721, 0.000136137008667, 0.403318881989, 13:12:35  19-07-16
25, -0.337448559671, 0.279835390947, 1e-12, 0.664609053498, [nan], -0.0491455168687, 0.607467386414, 0.999949194737, -0.668190824569, 0.391377439417,11.5736439228, 0.00014591217041, 0.581773042679, 13:12:47  19-07-16
26, 0.551440329218, 0.995884773663, 1e-12, 0.664609053498, [nan], -0.277051305617, 0.607467386414, 0.999949194737, -0.662703856119, 0.368208342091,13.5149409771, 0.000133991241455, 0.605817079544, 13:13:01  19-07-16
27, 0.847736625514, -0.576131687243, 1e-12, 0.446502057613, [nan], -2.24407505096, 0.715426405148, 0.928821825941, -0.588833003099, 0.277985786011,11.8571670055, 0.000134944915771, 0.727461099625, 13:13:13  19-07-16
28, 0.888888888889, -0.329218106996, 1e-12, 0.561728395062, [nan], -1.23972971223, 0.656195644263, 0.94467306813, -0.555606360819, 0.162444454004,11.5481860638, 0.000134944915771, 0.837853193283, 13:13:26  19-07-16
29, 0.0658436213992, 0.246913580247, 1e-12, 0.997942386831, [nan], -0.307691522664, 0.47309607623, 0.951074531321, -0.556825687141, 0.149615560446,10.2216038704, 0.000142097473145, 0.917662858963, 13:13:37  19-07-16
30, -0.082304526749, 0.995884773663, 1e-12, 0.00205761316872, [nan], -1.4952244206, 0.99845798026, 0.962658131382, -0.55977239242, 0.128156097599,10.5243439674, 0.000137090682983, 0.843705892563, 13:13:48  19-07-16
31, -0.106995884774, 0.740740740741, 1e-12, 0.00205761316872, [nan], -1.13446054984, 0.99845798026, 0.960829141899, -0.557638571356, 0.12839600775,10.2121617794, 0.000133991241455, 0.849059104919, 13:13:59  19-07-16
32, 0.888888888889, -0.584362139918, 1e-12, 0.220164609053, [nan], -1.16693852547, 0.847789032314, -0.0819996951684, 0.956967941879, -1.51515908777,10.6228489876, 0.000135898590088, 0.795208930969, 13:14:11  19-07-16
33, 0.888888888889, -0.518518518519, 1e-12, 0.549382716049, [nan], -2.33169160136, 0.662299745978, -0.0816948635879, 0.956967941879, -1.51669182553,11.1697762012, 0.000130891799927, 0.812495946884, 13:14:23  19-07-16
34, 0.880658436214, -0.691358024691, 1e-12, 0.557613168724, [nan], -1.31717246687, 0.658224068135, -0.0804755372657, 0.956967941879, -1.52283333992,10.8801391125, 0.000133037567139, 0.865350961685, 13:14:35  19-07-16
35, 0.954732510288, -0.526748971193, 1e-12, 0.520576131687, [nan], -2.37175824868, 0.676764382256, -0.0801707056851, 0.956967941879, -1.52437001018,10.6631770134, 0.000134944915771, 1.02989196777, 13:14:46  19-07-16
36, 0.0329218106996, 0.880658436214, 1e-12, 0.335390946502, [nan], -1.26631911354, 0.77759985689, -0.061880810852, 0.947619773409, -1.61721972287,10.2594921589, 0.000131845474243, 0.93232011795, 13:14:57  19-07-16
37, 0.115226337449, 0.987654320988, 1e-12, 0.00205761316872, [nan], -2.39507634866, 0.99845798026, 0.194076106285, 0.975461057766, -2.50085135492,10.7182338238, 0.000133991241455, 0.881078958511, 13:15:09  19-07-16
38, 0.337448559671, 0.971193415638, 1e-12, 0.00205761316872, [nan], -2.02535298296, 0.99845798026, 0.164304221917, 0.977493268303, -2.49672062795,11.0864241123, 0.000136852264404, 0.934194087982, 13:15:21  19-07-16
